ticker,date,vol_60d,max_drawdown_1y,momentum_1y,div_growth_trailing,yield_proxy,trailing_12m_div,next_12m_div,target_risk
SCHD,2016-03-31,0.1589506435470383,-0.11477546155341067,0.04849719505085193,3.351855555555556,0.04059819267001132,0.391667,0.428667,0
SCHD,2016-04-30,0.10545331946112346,-0.10493694609127391,0.058299281508326306,3.351855555555556,0.04066920273877891,0.391667,0.428667,0
SCHD,2016-05-31,0.0878502220572578,-0.09569279191501301,0.12546910666615085,3.351855555555556,0.040107954173567925,0.391667,0.428667,0
SCHD,2016-06-30,0.11846343223222489,-0.09569279191501301,0.11111051364809366,1.0590312499999999,0.03933599899111638,0.395334,0.433333,0
SCHD,2016-07-31,0.1140575836065796,-0.09317696933232367,0.12913078033696013,1.0590312499999999,0.038246915880131335,0.395334,0.433333,0
SCHD,2016-08-31,0.10473379420039598,-0.09229988974058034,0.13929403977868104,1.0590312499999999,0.03837296630308699,0.395334,0.433333,0
SCHD,2016-09-30,0.09583781770242907,-0.041092688598406424,0.1953156692570832,0.29256995134862707,0.03652625626552753,0.377,0.46666700000000005,0
SCHD,2016-10-31,0.09278660857555357,-0.041092688598406424,0.12382082773518022,0.29256995134862707,0.0371050528961722,0.377,0.466667,0
SCHD,2016-11-30,0.1043856242339557,-0.041092688598406424,0.0918605441653646,0.29256995134862707,0.035931787321073064,0.377,0.46666700000000005,0
SCHD,2016-12-31,0.07915960278617674,-0.041092688598406424,0.0972411183120323,0.09677140929135253,0.039096943129878645,0.419333,0.448667,0
SCHD,2017-01-31,0.07948956920101237,-0.041092688598406424,0.11810216008824725,0.09677140929135253,0.039286292665567275,0.419333,0.448667,0
SCHD,2017-02-28,0.06647066761813882,-0.041092688598406424,0.1193036621716721,0.09677140929135253,0.03798960210660079,0.419333,0.448667,0
SCHD,2017-03-31,0.05753273296852731,-0.04076320356586438,0.06815453584855025,0.09446800470808125,0.03878010567854411,0.428667,0.427333,1
SCHD,2017-04-30,0.05702895335459389,-0.03919649488347854,0.07179461540845655,0.09446800470808125,0.038684655092279814,0.428667,0.427333,1
SCHD,2017-05-31,0.06004805917884923,-0.032379961695368054,0.11056119143376564,0.09446800470808125,0.038021041899027386,0.428667,0.427333,1
SCHD,2017-06-30,0.06379185727315154,-0.02197087285252375,0.11394256270650338,0.09611872492626494,0.03847168944163958,0.433333,0.452333,0
